list-none-none,1,10,1,30,158748,5291
list-none-none,1,100,1,300,188215,627
list-none-none,1,1000,1,3000,3512967,1170
list-none-none,1,10000,1,30000,625897531,20863
list-none-none,1,20000,1,60000,3387832086,56463
list-none-none,2,100,1,600,621117,1035
list-none-none,2,1000,1,6000,36708469,6118
list-none-none,4,10,1,120,180746,1506
list-none-none,8,10,1,240,323269,1346
list-none-none,12,1000,1,36000,115777157,3216
list-i-none,2,2,1,12,151679,12639
list-i-none,4,2,1,24,211711,8821
list-i-none,8,2,1,48,316495,6593
list-i-none,12,2,1,72,393589,5466
list-i-none,2,4,1,24,162679,6778
list-i-none,8,8,1,192,284101,1479
list-i-none,2,32,1,192,194795,1014
list-d-none,2,2,1,12,98801,8233
list-d-none,4,2,1,24,128545,5356
list-d-none,8,2,1,48,295590,6158
list-d-none,12,2,1,72,342379,4755
list-d-none,4,4,1,48,185003,3854
list-d-none,12,4,1,144,425993,2958
list-d-none,12,8,1,288,425420,1477
list-il-none,2,2,1,12,155836,12986
list-il-none,8,2,1,48,331895,6914
list-il-none,2,4,1,24,179177,7465
list-il-none,2,8,1,48,222631,4638
list-il-none,2,16,1,96,260478,2713
list-il-none,4,16,1,192,444430,2314
list-il-none,2,32,1,192,640348,3335
list-dl-none,2,2,1,12,152905,12742
list-dl-none,4,2,1,24,213827,8909
list-dl-none,12,2,1,72,395171,5488
list-dl-none,2,4,1,24,135746,5656
list-dl-none,2,8,1,48,118451,2467
list-dl-none,4,8,1,96,214335,2232
list-dl-none,2,16,1,96,280392,2920
list-dl-none,12,16,1,576,962263,1670
list-dl-none,2,32,1,192,691419,3601
list-dl-none,4,32,1,384,1009936,2630
list-i-m,12,32,1,1152,2202344,1911
list-d-m,12,32,1,1152,2189682,1900
list-il-m,12,32,1,1152,17743827,15402
list-dl-m,12,32,1,1152,13861284,12032
list-i-s,12,32,1,1152,4720572,4097
list-d-s,12,32,1,1152,3807823,3305
list-il-s,12,32,1,1152,25403424,22051
list-dl-s,12,32,1,1152,22579918,19600
list-none-none,1,1000,1,3000,3657361,1219
list-none-m,1,1000,1,3000,3716817,1238
list-none-m,2,1000,1,6000,23218397,3869
list-none-m,4,1000,1,12000,93034963,7752
list-none-m,8,1000,1,24000,483611927,20150
list-none-m,12,1000,1,36000,1188679171,33018
list-none-m,16,1000,1,48000,2266666040,47222
list-none-m,24,1000,1,72000,4913466694,68242
list-none-s,1,1000,1,3000,3744714,1248
list-none-s,2,1000,1,6000,39486377,6581
list-none-s,4,1000,1,12000,262358862,21863
list-none-s,8,1000,1,24000,890706421,37112
list-none-s,12,1000,1,36000,2557002810,71027
list-none-s,16,1000,1,48000,9245726075,192619
list-none-s,24,1000,1,72000,27479114771,381654
list-none-none,1,10,1,30,90714,3023
list-none-none,1,100,1,300,112025,373
list-none-none,1,1000,1,3000,3757553,1252
list-none-none,1,10000,1,30000,672164647,22405
list-none-none,1,20000,1,60000,3689297421,61488
list-none-none,2,10,1,60,118601,1976
list-none-none,4,10,1,120,154403,1286
list-none-none,12,10,1,360,376793,1046
list-i-none,2,4,1,24,100196,4174
list-i-none,4,4,1,48,133453,2780
list-i-none,2,8,1,48,119757,2494
list-i-none,4,16,1,192,180945,942
list-i-none,2,32,1,192,179843,936
list-d-none,2,2,1,12,110804,9233
list-d-none,4,2,1,24,147541,6147
list-d-none,8,2,1,48,271600,5658
list-d-none,12,2,1,72,368688,5120
list-d-none,2,4,1,24,100160,4173
list-d-none,4,4,1,48,141222,2942
list-d-none,8,4,1,96,272683,2840
list-d-none,2,16,1,96,125847,1310
list-d-none,8,16,1,384,264627,689
list-il-none,2,4,1,24,100877,4203
list-il-none,8,4,1,96,271522,2828
list-il-none,12,4,1,144,370002,2569
list-il-none,2,8,1,48,147933,3081
list-il-none,4,8,1,96,176906,1842
list-il-none,2,16,1,96,240555,2505
list-il-none,2,32,1,192,541352,2819
list-il-none,4,32,1,384,981902,2557
list-dl-none,2,2,1,12,105099,8758
list-dl-none,8,2,1,48,255917,5331
list-dl-none,12,2,1,72,399983,5555
list-dl-none,2,4,1,24,95352,3973
list-dl-none,4,4,1,48,142438,2967
list-dl-none,8,4,1,96,243994,2541
list-dl-none,12,4,1,144,364593,2531
list-dl-none,2,8,1,48,122392,2549
list-dl-none,4,8,1,96,171480,1786
list-dl-none,12,16,1,576,1022412,1775
list-dl-none,2,32,1,192,513645,2675
list-dl-none,4,32,1,384,878120,2286
list-i-m,12,32,1,1152,2406584,2089
list-d-m,12,32,1,1152,2221101,1928
list-il-m,12,32,1,1152,17408011,15111
list-dl-m,12,32,1,1152,14169165,12299
list-i-s,12,32,1,1152,4307507,3739
list-d-s,12,32,1,1152,5181551,4497
list-il-s,12,32,1,1152,20236576,17566
list-dl-s,12,32,1,1152,19896975,17271
list-none-none,1,1000,1,3000,3711454,1237
list-none-m,1,1000,1,3000,3772447,1257
list-none-m,2,1000,1,6000,25176346,4196
list-none-m,4,1000,1,12000,97920782,8160
list-none-m,8,1000,1,24000,423362507,17640
list-none-m,12,1000,1,36000,1132175719,31449
list-none-m,16,1000,1,48000,2017918285,42039
list-none-m,24,1000,1,72000,4722582076,65591
list-none-s,1,1000,1,3000,3720172,1240
list-none-s,2,1000,1,6000,38730076,6455
list-none-s,4,1000,1,12000,271439434,22619
list-none-s,8,1000,1,24000,1080331791,45013
list-none-s,12,1000,1,36000,4482993838,124527
list-none-s,16,1000,1,48000,15947738969,332244
list-none-s,24,1000,1,72000,31216517887,433562
list-none-none,1,10,1,30,80482,2682
list-none-none,1,100,1,300,128717,429
list-none-none,1,1000,1,3000,3730200,1243
list-none-none,1,10000,1,30000,676964820,22565
list-none-none,1,20000,1,60000,3648730233,60812
list-none-none,2,10,1,60,111023,1850
list-none-none,2,100,1,600,291811,486
list-none-none,2,1000,1,6000,35042531,5840
list-none-none,8,10,1,240,256494,1068
list-i-none,2,2,1,12,73803,6150
list-i-none,8,2,1,48,225497,4697
list-i-none,12,2,1,72,309964,4305
list-i-none,2,4,1,24,82691,3445
